id,ntd_id,agency_name,facility_id,facility_type,facility_name,geometry,geojson_geometry
23,90134,Peninsula Corridor Joint Powers Board,4203,Surface Parking Lot,BUR Parking Lot,POINT (-122.3442 37.57986),"{'type': 'Point', 'coordinates': (-122.3442, 37.57986)}"
24,90009,San Mateo County Transit District,20275,At-Grade Fixed Guideway Station,Burlingame Station,POINT (-122.3442 37.57986),"{'type': 'Point', 'coordinates': (-122.3442, 37.57986)}"
25,90134,Peninsula Corridor Joint Powers Board,4135,At-Grade Fixed Guideway Station,Burlingame Station,POINT (-122.3442 37.57986),"{'type': 'Point', 'coordinates': (-122.3442, 37.57986)}"
26,90009,San Mateo County Transit District,20274,At-Grade Fixed Guideway Station,Broadway Station,POINT (-122.3619 37.5873),"{'type': 'Point', 'coordinates': (-122.3619, 37.5873)}"
27,90134,Peninsula Corridor Joint Powers Board,4202,Surface Parking Lot,BWY Parking Lot,POINT (-122.3619 37.5873),"{'type': 'Point', 'coordinates': (-122.3619, 37.5873)}"
28,90134,Peninsula Corridor Joint Powers Board,4201,Surface Parking Lot,MIL Parking Lot,POINT (-122.386 37.59919),"{'type': 'Point', 'coordinates': (-122.386, 37.59919)}"
29,90003,San Francisco Bay Area Rapid Transit District,5382,Elevated Fixed Guideway Station,"Passenger Station, Millbrae, W40, 12000293",POINT (-122.3867 37.59979),"{'type': 'Point', 'coordinates': (-122.3867, 37.59979)}"
30,90009,San Mateo County Transit District,20268,Elevated Fixed Guideway Station,"Passenger Station, Millbrae, W40, 12000293",POINT (-122.3867 37.59979),"{'type': 'Point', 'coordinates': (-122.3867, 37.59979)}"
31,90003,San Francisco Bay Area Rapid Transit District,5318,Surface Parking Lot,"Parking Lot, Millbrae, 12000322",POINT (-122.3867 37.59979),"{'type': 'Point', 'coordinates': (-122.3867, 37.59979)}"
32,90003,San Francisco Bay Area Rapid Transit District,5281,Parking Structure,"Parking Garage, Millbrae, 12000358",POINT (-122.3888 37.60001),"{'type': 'Point', 'coordinates': (-122.3888, 37.60001)}"
33,90003,San Francisco Bay Area Rapid Transit District,5377,Elevated Fixed Guideway Station,"Passenger Station, San Francisco International Airport, Y10, 12000294",POINT (-122.3926 37.61603),"{'type': 'Point', 'coordinates': (-122.3926, 37.61603)}"
34,90009,San Mateo County Transit District,20272,Elevated Fixed Guideway Station,"Passenger Station, San Francisco International Airport, Y10, 12000294",POINT (-122.3926 37.61603),"{'type': 'Point', 'coordinates': (-122.3926, 37.61603)}"
35,90134,Peninsula Corridor Joint Powers Board,4132,Elevated Fixed Guideway Station,San Bruno Station,POINT (-122.4114 37.6301),"{'type': 'Point', 'coordinates': (-122.4114, 37.6301)}"
36,90009,San Mateo County Transit District,20273,Elevated Fixed Guideway Station,San Bruno Station,POINT (-122.4114 37.6301),"{'type': 'Point', 'coordinates': (-122.4114, 37.6301)}"
37,90134,Peninsula Corridor Joint Powers Board,4200,Surface Parking Lot,SBR Parking Lot,POINT (-122.4114 37.6301),"{'type': 'Point', 'coordinates': (-122.4114, 37.6301)}"
38,90003,San Francisco Bay Area Rapid Transit District,5348,Underground Fixed Guideway Station,"Passenger Station, San Bruno, W30, 12000292",POINT (-122.416 37.63775),"{'type': 'Point', 'coordinates': (-122.416, 37.63775)}"
39,90003,San Francisco Bay Area Rapid Transit District,5271,Parking Structure,"Parking Garage, San Bruno, 12000357",POINT (-122.416 37.63775),"{'type': 'Point', 'coordinates': (-122.416, 37.63775)}"
40,90009,San Mateo County Transit District,20271,Underground Fixed Guideway Station,"Passenger Station, San Bruno, W30, 12000292",POINT (-122.416 37.63775),"{'type': 'Point', 'coordinates': (-122.416, 37.63775)}"
41,90134,Peninsula Corridor Joint Powers Board,4131,At-Grade Fixed Guideway Station,South San Francisco Station,POINT (-122.4051 37.65574),"{'type': 'Point', 'coordinates': (-122.4051, 37.65574)}"
42,90134,Peninsula Corridor Joint Powers Board,20569,Surface Parking Lot,SSF Parking Lot,POINT (-122.4051 37.65574),"{'type': 'Point', 'coordinates': (-122.4051, 37.65574)}"
43,90003,San Francisco Bay Area Rapid Transit District,5379,Underground Fixed Guideway Station,"Passenger Station, South San Francisco, W20, 12000291",POINT (-122.4441 37.66417),"{'type': 'Point', 'coordinates': (-122.4441, 37.66417)}"
44,90003,San Francisco Bay Area Rapid Transit District,5303,Surface Parking Lot,"Parking Lot, South San Francisco, 12000321",POINT (-122.4441 37.66417),"{'type': 'Point', 'coordinates': (-122.4441, 37.66417)}"
45,90003,San Francisco Bay Area Rapid Transit District,5273,Parking Structure,"Parking Garage, South San Francisco, 12000356",POINT (-122.4441 37.66417),"{'type': 'Point', 'coordinates': (-122.4441, 37.66417)}"
46,90009,San Mateo County Transit District,20270,Underground Fixed Guideway Station,"Passenger Station, South San Francisco, W20, 12000291",POINT (-122.4441 37.66417),"{'type': 'Point', 'coordinates': (-122.4441, 37.66417)}"
47,90009,San Mateo County Transit District,4412,Surface Parking Lot,Colma Park & Ride Facility,POINT (-122.4659028 37.6825587),"{'type': 'Point', 'coordinates': (-122.4659028, 37.6825587)}"
48,90003,San Francisco Bay Area Rapid Transit District,5309,Maintenance Facility (Service and Inspection),"Blow Pit, Daly City S&I Building, 12000386",POINT (-122.4675 37.68433),"{'type': 'Point', 'coordinates': (-122.4675, 37.68433)}"
49,90003,San Francisco Bay Area Rapid Transit District,5308,General Purpose Maintenance Facility/Depot,"Shop, Daly City Yard Main, 12000361",POINT (-122.4675 37.68433),"{'type': 'Point', 'coordinates': (-122.4675, 37.68433)}"
50,90003,San Francisco Bay Area Rapid Transit District,5390,Vehicle Washing Facility,"Train Wash, Daly City Yard, 12000389",POINT (-122.4675 37.68433),"{'type': 'Point', 'coordinates': (-122.4675, 37.68433)}"
51,90134,Peninsula Corridor Joint Powers Board,4134,At-Grade Fixed Guideway Station,Broadway Station,POINT (-122.3619 37.5873),"{'type': 'Point', 'coordinates': (-122.3619, 37.5873)}"
52,90134,Peninsula Corridor Joint Powers Board,4133,At-Grade Fixed Guideway Station,Millbrae Station,POINT (-122.386 37.59919),"{'type': 'Point', 'coordinates': (-122.386, 37.59919)}"
53,90225,San Francisco Bay Area Water Emergency Transportation Authority,11214,Surface Parking Lot,South San Francisco Ferry Terminal  - Parking Lot,POINT (-122.379766 37.661477),"{'type': 'Point', 'coordinates': (-122.379766, 37.661477)}"
54,90225,San Francisco Bay Area Water Emergency Transportation Authority,11213,Ferryboat Terminal,South San Francisco Ferry Terminal ,POINT (-122.379766 37.661477),"{'type': 'Point', 'coordinates': (-122.379766, 37.661477)}"
55,90015,City and County of San Francisco,11650,General Purpose Maintenance Facility/Depot,Burke Storage Facility,POINT (-122.3856643 37.7447882),"{'type': 'Point', 'coordinates': (-122.3856643, 37.7447882)}"
56,90015,City and County of San Francisco,11788,General Purpose Maintenance Facility/Depot,Muni Metro East Rail Division,POINT (-122.3855411 37.7520495),"{'type': 'Point', 'coordinates': (-122.3855411, 37.7520495)}"
57,90225,San Francisco Bay Area Water Emergency Transportation Authority,16982,Combined Administrative and Maintenance Facility (describe in Notes),Central Bay Maintenance Facility ,POINT (-122.29 37.77),"{'type': 'Point', 'coordinates': (-122.29, 37.77)}"
58,90225,San Francisco Bay Area Water Emergency Transportation Authority,11212,Surface Parking Lot,Alameda Main Street Terminal  - Parking Lot,POINT (-122.292659 37.788465),"{'type': 'Point', 'coordinates': (-122.292659, 37.788465)}"
59,90036,Orange County Transportation Authority,3115,Maintenance Facility (Service and Inspection),Vehicle Inspection System Canopy,POINT (-117.924331 33.76421),"{'type': 'Point', 'coordinates': (-117.924331, 33.76421)}"
60,90036,Orange County Transportation Authority,3116,Vehicle Washing Facility,Bus Major Cleaning Station,POINT (-117.924495 33.764241),"{'type': 'Point', 'coordinates': (-117.924495, 33.764241)}"
61,90036,Orange County Transportation Authority,3114,Maintenance Facility (Service and Inspection),Brake Check Building,POINT (-117.924218 33.764243),"{'type': 'Point', 'coordinates': (-117.924218, 33.764243)}"
62,90036,Orange County Transportation Authority,3113,Vehicle Fueling Facility,Fuel and Service Building,POINT (-117.923783 33.764301),"{'type': 'Point', 'coordinates': (-117.923783, 33.764301)}"
63,90036,Orange County Transportation Authority,3117,Vehicle Washing Facility,Bus Wash/Steam Cleaning Building,POINT (-117.924844 33.764329),"{'type': 'Point', 'coordinates': (-117.924844, 33.764329)}"
64,90036,Orange County Transportation Authority,3119,Vehicle Fueling Facility,CNG Facility,POINT (-117.923393 33.764454),"{'type': 'Point', 'coordinates': (-117.923393, 33.764454)}"
65,90036,Orange County Transportation Authority,3118,General Purpose Maintenance Facility/Depot,Facilities Maintenance Shop,POINT (-117.924775 33.764493),"{'type': 'Point', 'coordinates': (-117.924775, 33.764493)}"
66,90036,Orange County Transportation Authority,3109,"Other, Administrative & Maintenance (describe in Notes)",Operations Building,POINT (-117.923703 33.764584),"{'type': 'Point', 'coordinates': (-117.923703, 33.764584)}"
67,90036,Orange County Transportation Authority,3110,Surface Parking Lot,Site,POINT (-117.924057 33.764716),"{'type': 'Point', 'coordinates': (-117.924057, 33.764716)}"
68,90036,Orange County Transportation Authority,3112,Maintenance Facility (Service and Inspection),Tire Shop,POINT (-117.926313 33.765038),"{'type': 'Point', 'coordinates': (-117.926313, 33.765038)}"
69,90036,Orange County Transportation Authority,3108,General Purpose Maintenance Facility/Depot,Maintenance Building,POINT (-117.922691 33.765222),"{'type': 'Point', 'coordinates': (-117.922691, 33.765222)}"
70,90036,Orange County Transportation Authority,3111,"Other, Administrative & Maintenance (describe in Notes)",Annex,POINT (-117.922691 33.765222),"{'type': 'Point', 'coordinates': (-117.922691, 33.765222)}"
71,90023,Long Beach Transit,249,Administrative Office / Sales Office,Transit Visitor & Information Center,POINT (-118.1920046 33.7677349),"{'type': 'Point', 'coordinates': (-118.1920046, 33.7677349)}"
72,90154,Los Angeles County Metropolitan Transportation Authority ,5627,At-Grade Fixed Guideway Station,0742-A: MBL - Transit Mall Station,POINT (-118.193 33.76804),"{'type': 'Point', 'coordinates': (-118.193, 33.76804)}"
73,90154,Los Angeles County Metropolitan Transportation Authority ,5626,At-Grade Fixed Guideway Station,0740-A: MBL - 1st St. Station,POINT (-118.1894 33.76871),"{'type': 'Point', 'coordinates': (-118.1894, 33.76871)}"
74,90154,Los Angeles County Metropolitan Transportation Authority ,5628,At-Grade Fixed Guideway Station,0744-A: MBL - Pacific Ave. Station,POINT (-118.1938 33.77234),"{'type': 'Point', 'coordinates': (-118.1938, 33.77234)}"
75,90154,Los Angeles County Metropolitan Transportation Authority ,5625,At-Grade Fixed Guideway Station,0738-A: MBL - 5th St. Station,POINT (-118.1894 33.77355),"{'type': 'Point', 'coordinates': (-118.1894, 33.77355)}"
76,90154,Los Angeles County Metropolitan Transportation Authority ,5624,At-Grade Fixed Guideway Station,0736-A: MBL - Anaheim St. Station,POINT (-118.1894 33.78197),"{'type': 'Point', 'coordinates': (-118.1894, 33.78197)}"
77,90023,Long Beach Transit,245,Administrative Office / Sales Office,LBT1 Transit Service Delivery Building,POINT (-118.1683299 33.78285),"{'type': 'Point', 'coordinates': (-118.1683299, 33.78285)}"
78,90023,Long Beach Transit,246,General Purpose Maintenance Facility/Depot,LBT1 North Shop,POINT (-118.1683299 33.78285),"{'type': 'Point', 'coordinates': (-118.1683299, 33.78285)}"
79,90023,Long Beach Transit,243,General Purpose Maintenance Facility/Depot,LBT1 Maintenance Building,POINT (-118.1683299 33.78285),"{'type': 'Point', 'coordinates': (-118.1683299, 33.78285)}"
80,90023,Long Beach Transit,244,Administrative Office / Sales Office,LBT1 Administration Building,POINT (-118.1683299 33.78285),"{'type': 'Point', 'coordinates': (-118.1683299, 33.78285)}"
81,90151,Southern California Regional Rail Authority,10827,Surface Parking Lot,Orange,POINT (-117.8572436 33.7887312),"{'type': 'Point', 'coordinates': (-117.8572436, 33.7887312)}"
82,90151,Southern California Regional Rail Authority,9309,At-Grade Fixed Guideway Station,Orange,POINT (-117.8572436 33.7887312),"{'type': 'Point', 'coordinates': (-117.8572436, 33.7887312)}"
83,90036,Orange County Transportation Authority,3091,Surface Parking Lot,Orange Transportation Center,POINT (-117.8574 33.788783),"{'type': 'Point', 'coordinates': (-117.8574, 33.788783)}"
84,90154,Los Angeles County Metropolitan Transportation Authority ,5623,At-Grade Fixed Guideway Station,0734-A: MBL - Pacific Coast Hwy Station,POINT (-118.1894 33.78918),"{'type': 'Point', 'coordinates': (-118.1894, 33.78918)}"
85,90211,Anaheim Transportation Network,9080,Bus Transfer Center,Anaheim Convention Center Transit Plaza,POINT (-117.9208 33.798),"{'type': 'Point', 'coordinates': (-117.9208, 33.798)}"
86,90151,Southern California Regional Rail Authority,10796,Surface Parking Lot,Anaheim,POINT (-117.8786198 33.8025849),"{'type': 'Point', 'coordinates': (-117.8786198, 33.8025849)}"
87,90151,Southern California Regional Rail Authority,9275,At-Grade Fixed Guideway Station,Anaheim,POINT (-117.8786198 33.8025849),"{'type': 'Point', 'coordinates': (-117.8786198, 33.8025849)}"
88,90211,Anaheim Transportation Network,9087,Bus Transfer Center,Gardenwalk Transit Center,POINT (-117.9109 33.8035),"{'type': 'Point', 'coordinates': (-117.9109, 33.8035)}"
89,90036,Orange County Transportation Authority,3079,Surface Parking Lot,Anaheim Regional Transportation Intermodal Center,POINT (-117.877447 33.803563),"{'type': 'Point', 'coordinates': (-117.877447, 33.803563)}"
90,90211,Anaheim Transportation Network,9078,Bus Transfer Center,Anaheim Regional Transportation Intermodal Center,POINT (-117.8773 33.8037),"{'type': 'Point', 'coordinates': (-117.8773, 33.8037)}"
91,90154,Los Angeles County Metropolitan Transportation Authority ,6586,Parking Structure,0219-P: MBL - Willow Southwest Parking Structure,POINT (-118.1909 33.80592),"{'type': 'Point', 'coordinates': (-118.1909, 33.80592)}"
92,90154,Los Angeles County Metropolitan Transportation Authority ,5622,At-Grade Fixed Guideway Station,0732-A: MBL - Willow St. Station,POINT (-118.1898 33.80696),"{'type': 'Point', 'coordinates': (-118.1898, 33.80696)}"
93,90154,Los Angeles County Metropolitan Transportation Authority ,6585,Surface Parking Lot,0218-P2: MBL - Willow South Parking Lot,POINT (-118.1902 33.80726),"{'type': 'Point', 'coordinates': (-118.1902, 33.80726)}"
94,90154,Los Angeles County Metropolitan Transportation Authority ,6584,Surface Parking Lot,0218-P1: MBL - Willow North Parking Lot,POINT (-118.191 33.80921),"{'type': 'Point', 'coordinates': (-118.191, 33.80921)}"
95,90211,Anaheim Transportation Network,9081,Bus Transfer Center,Disneyland Transit Center,POINT (-117.917 33.8097),"{'type': 'Point', 'coordinates': (-117.917, 33.8097)}"
96,90211,Anaheim Transportation Network,8665,Combined Administrative and Maintenance Facility (describe in Notes),Base Facility,POINT (-117.9061876 33.8149697),"{'type': 'Point', 'coordinates': (-117.9061876, 33.8149697)}"
97,90154,Los Angeles County Metropolitan Transportation Authority ,6583,Surface Parking Lot,0217-P2: MBL - Wardlow South Parking Lot,POINT (-118.1953 33.81831),"{'type': 'Point', 'coordinates': (-118.1953, 33.81831)}"
98,90154,Los Angeles County Metropolitan Transportation Authority ,5621,At-Grade Fixed Guideway Station,0730-A: MBL - Wardlow Station,POINT (-118.1961 33.81985),"{'type': 'Point', 'coordinates': (-118.1961, 33.81985)}"
99,90154,Los Angeles County Metropolitan Transportation Authority ,6582,Surface Parking Lot,0216-P1: MBL - Wardlow North Parking Lot,POINT (-118.1964 33.82002),"{'type': 'Point', 'coordinates': (-118.1964, 33.82002)}"
100,90154,Los Angeles County Metropolitan Transportation Authority ,5589,"Other, Administrative & Maintenance (describe in Notes)",0011-F: Division 11 Storage Building,POINT (-118.2076 33.83228),"{'type': 'Point', 'coordinates': (-118.2076, 33.83228)}"
101,90154,Los Angeles County Metropolitan Transportation Authority ,5586,Maintenance Facility (Service and Inspection),0011-B: Division 11 Vehicle Maintenance Shop Building,POINT (-118.208 33.8338),"{'type': 'Point', 'coordinates': (-118.208, 33.8338)}"
102,90154,Los Angeles County Metropolitan Transportation Authority ,5585,Combined Administrative and Maintenance Facility (describe in Notes),0011-A: Division 11 Operations Center & Ancillary Shop,POINT (-118.2074 33.83541),"{'type': 'Point', 'coordinates': (-118.2074, 33.83541)}"
103,90154,Los Angeles County Metropolitan Transportation Authority ,5587,Maintenance Facility (Service and Inspection),0011-C: Division 11 Paint Shop Building,POINT (-118.2068 33.83602),"{'type': 'Point', 'coordinates': (-118.2068, 33.83602)}"
104,90154,Los Angeles County Metropolitan Transportation Authority ,5588,Maintenance Facility (Service and Inspection),0011-E: Division 11 SI-4 Bldg. East Shop Area,POINT (-118.2071 33.83772),"{'type': 'Point', 'coordinates': (-118.2071, 33.83772)}"
105,90154,Los Angeles County Metropolitan Transportation Authority ,6580,Surface Parking Lot,0215-P: MBL - Del Amo East Parking Lot,POINT (-118.2103 33.84737),"{'type': 'Point', 'coordinates': (-118.2103, 33.84737)}"
106,90154,Los Angeles County Metropolitan Transportation Authority ,5620,Elevated Fixed Guideway Station,0728-A: MBL - Del Amo Station,POINT (-118.2111 33.84822),"{'type': 'Point', 'coordinates': (-118.2111, 33.84822)}"
107,90151,Southern California Regional Rail Authority,9276,At-Grade Fixed Guideway Station,Anaheim Canyon,POINT (-117.8402912 33.8540391),"{'type': 'Point', 'coordinates': (-117.8402912, 33.8540391)}"
108,90151,Southern California Regional Rail Authority,10797,Surface Parking Lot,Anaheim Canyon,POINT (-117.8402912 33.8540391),"{'type': 'Point', 'coordinates': (-117.8402912, 33.8540391)}"
109,90031,Riverside Transit Agency,10130,Bus Transfer Center,Perris Transit Center,POINT (-117.2294677 33.7846501),"{'type': 'Point', 'coordinates': (-117.2294677, 33.7846501)}"
110,90031,Riverside Transit Agency,4122,Bus Transfer Center,Corona,POINT (-117.576759 33.851555),"{'type': 'Point', 'coordinates': (-117.576759, 33.851555)}"
111,90052,City of Corona,10651,Bus Transfer Center,Corona Transit Center,POINT (-117.5635476 33.88176),"{'type': 'Point', 'coordinates': (-117.5635476, 33.88176)}"
112,90151,Southern California Regional Rail Authority,9305,At-Grade Fixed Guideway Station,North Main Corona,POINT (-117.5638143 33.8829488),"{'type': 'Point', 'coordinates': (-117.5638143, 33.8829488)}"
113,90151,Southern California Regional Rail Authority,10823,Parking Structure,North Main Corona,POINT (-117.5638143 33.8829488),"{'type': 'Point', 'coordinates': (-117.5638143, 33.8829488)}"
114,90052,City of Corona,70,Vehicle Fueling Facility,CNG Municipal Fueling Station,POINT (-117.5759983 33.8880325),"{'type': 'Point', 'coordinates': (-117.5759983, 33.8880325)}"
115,90151,Southern California Regional Rail Authority,10838,Surface Parking Lot,Riverside-La Sierra,POINT (-117.4687086 33.8991316),"{'type': 'Point', 'coordinates': (-117.4687086, 33.8991316)}"
116,90151,Southern California Regional Rail Authority,9320,At-Grade Fixed Guideway Station,Riverside-La Sierra,POINT (-117.4687086 33.8991316),"{'type': 'Point', 'coordinates': (-117.4687086, 33.8991316)}"
117,90031,Riverside Transit Agency,10127,Bus Transfer Center,La Sierra Metrolink Station,POINT (-117.467912 33.90069),"{'type': 'Point', 'coordinates': (-117.467912, 33.90069)}"
118,90151,Southern California Regional Rail Authority,9336,At-Grade Fixed Guideway Station,West Corona,POINT (-117.648129 33.9115969),"{'type': 'Point', 'coordinates': (-117.648129, 33.9115969)}"
119,90211,Anaheim Transportation Network,9079,Bus Transfer Center,Anaheim Canyon Station,POINT (-117.8406 33.8542),"{'type': 'Point', 'coordinates': (-117.8406, 33.8542)}"
120,90036,Orange County Transportation Authority,3078,Surface Parking Lot,Anaheim Canyon Metrolink,POINT (-117.840461 33.854547),"{'type': 'Point', 'coordinates': (-117.840461, 33.854547)}"
121,90036,Orange County Transportation Authority,3101,"Other, Administrative & Maintenance (describe in Notes)",Operations Building,POINT (-117.892155 33.857299),"{'type': 'Point', 'coordinates': (-117.892155, 33.857299)}"
122,90036,Orange County Transportation Authority,3100,General Purpose Maintenance Facility/Depot,Maintenance Building,POINT (-117.892348 33.857303),"{'type': 'Point', 'coordinates': (-117.892348, 33.857303)}"
123,90036,Orange County Transportation Authority,3107,Surface Parking Lot,Site,POINT (-117.889567 33.85731),"{'type': 'Point', 'coordinates': (-117.889567, 33.85731)}"
124,90036,Orange County Transportation Authority,3099,Parking Structure,Parking Structure,POINT (-117.889567 33.85731),"{'type': 'Point', 'coordinates': (-117.889567, 33.85731)}"
125,90036,Orange County Transportation Authority,3104,Vehicle Washing Facility,Bus Major Cleaning Station,POINT (-117.892271 33.857421),"{'type': 'Point', 'coordinates': (-117.892271, 33.857421)}"
126,90036,Orange County Transportation Authority,3105,Vehicle Washing Facility,Bus Wash/Steam Cleaning Building,POINT (-117.892636 33.857501),"{'type': 'Point', 'coordinates': (-117.892636, 33.857501)}"
127,90036,Orange County Transportation Authority,3102,Vehicle Fueling Facility,Fuel and Service Building,POINT (-117.891541 33.857503),"{'type': 'Point', 'coordinates': (-117.891541, 33.857503)}"
128,90036,Orange County Transportation Authority,3103,Maintenance Facility (Service and Inspection),Brake Check Building,POINT (-117.891981 33.857572),"{'type': 'Point', 'coordinates': (-117.891981, 33.857572)}"
129,90036,Orange County Transportation Authority,3106,General Purpose Maintenance Facility/Depot,CNG Facility,POINT (-117.891852 33.857857),"{'type': 'Point', 'coordinates': (-117.891852, 33.857857)}"
130,90036,Orange County Transportation Authority,19917,"Other, Passenger or Parking (describe in Notes)",Fullerton Park and Ride Restroom #2,POINT (-117.980851 33.858461),"{'type': 'Point', 'coordinates': (-117.980851, 33.858461)}"
131,90036,Orange County Transportation Authority,19918,Bus Transfer Center,Fullerton Park and Ride Passenger Canopy Structure,POINT (-117.97961 33.858512),"{'type': 'Point', 'coordinates': (-117.97961, 33.858512)}"
132,90154,Los Angeles County Metropolitan Transportation Authority ,20105,"Other, Passenger or Parking (describe in Notes)",0209-R: Fullerton Park and Ride Restroom,POINT (-117.9794 33.85854),"{'type': 'Point', 'coordinates': (-117.9794, 33.85854)}"
133,90036,Orange County Transportation Authority,3154,"Other, Passenger or Parking (describe in Notes)",Fullerton Park and Ride Restroom #1,POINT (-117.978451 33.858541),"{'type': 'Point', 'coordinates': (-117.978451, 33.858541)}"
134,90154,Los Angeles County Metropolitan Transportation Authority ,20104,Surface Parking Lot,0209-P: Fullerton Park and Ride Lot,POINT (-117.9793 33.85896),"{'type': 'Point', 'coordinates': (-117.9793, 33.85896)}"
135,90036,Orange County Transportation Authority,3153,Surface Parking Lot,Fullerton Park and Ride Site,POINT (-117.979286 33.858963),"{'type': 'Point', 'coordinates': (-117.979286, 33.858963)}"
136,90154,Los Angeles County Metropolitan Transportation Authority ,17613,Bus Transfer Center,0209-A: Fullerton Park and Ride,POINT (-117.977 33.85898),"{'type': 'Point', 'coordinates': (-117.977, 33.85898)}"
137,90300,City of Artesia,18583,General Purpose Maintenance Facility/Depot,Electric Bus and vehicle charging facility,POINT (-118.078804 33.86073),"{'type': 'Point', 'coordinates': (-118.078804, 33.86073)}"
138,90151,Southern California Regional Rail Authority,9293,At-Grade Fixed Guideway Station,Fullerton,POINT (-117.9237731 33.8684729),"{'type': 'Point', 'coordinates': (-117.9237731, 33.8684729)}"
